text	label	clean_text
Open discussion. Between the Transfer Portal and the NIL, will the @NCAA become obsolete as an organization and governing body? @zlancaster91 @RAllenGoPokes #Hopelessness #GoPokes #LoyalandTrue	1	open discussion transfer portal nil become obsolete organization governing body
Plenty of things are changing in my life and the lives of those around me. There is one thing that doesn't change, my #hopelessness.	1	plenty thing changing life life around one thing change
I feel a little hopeless. Anyone else? #hopelessness	1	feel little hopeless anyone else
Which is more healthy? Hope, or hopelessness? #hope #Hopelessness #Mentalhealth	1	healthy hope hopelessness
"So someone tell me how do I get over #HOPELESSNESS? 
I live in a world of #poverty surrounded by #PoorPeople.
People help us that are not much better off than we are.
If not for my son's inability to care for himself I would likely give into the Hopelessness &amp; darkness."	1	someone tell get live world surrounded people help u much better son inability care would likely give hopelessness darkness
No parent deserves to experience the Indian legal system. #hopelessness	1	parent deserves experience indian legal system
"Being in a #union also looks a lot like being #alone.

It can feel like there’s no worse place to be sometimes.

#hopelessness #unions #workersrights"	1	also look lot like feel like worse place sometimes
"I am so glad that @GreysABC is tackling the huge #healthcare professionals shortage we are facing and so saddened that we are not really living in their post pandemic world. 

The #burnout, the #hopelessness, the #stress are palpable at every level and department of the system."	1	glad tackling huge professional shortage facing saddened really living post pandemic world palpable every level department system
If you know someone who’s depressed please resolve to never ask them why. #depression  isn’t a straightforward response to a bad situation; depression just is, like the weather. Try to understand the blackness, lethargy, #hopelessness and loneliness they’re going through.	1	know someone depressed please resolve never ask straightforward response bad situation depression like weather try understand blackness lethargy loneliness going
"Every year passes but the pain remains the same 😞

It's more painful when you have to struggle silently and the world is busy enjoying the life... 
Having no emotional support is more than PAIN... #MentalHealthMatters #loneliness #Suicide #depression
#WorldMentalHealthDay"	1	every year pass pain remains painful struggle silently world busy enjoying life emotional support pain
"In this life, I can't expect things to be in my favor. If I take a break I'll go back to nothing and no one. 

I feel misplaced like a turtle in a horse race.

▫️▫️▫️

#life #Anxiety #loneliness"	1	life expect thing favor take break go back nothing one feel misplaced like turtle horse race
holidays can bring on a sense of loss - of family, traditions, connections. AFTER LOSS  (facebook) #loss #family  #loneliness #life	1	holiday bring sense loss family tradition connection loss facebook
Must be good to have someone by your side. #Lonely #loneliness	1	must good someone side
#Artists without an air of #loneliness , are #boring !	1	without air
we all have our own version of #loneliness..	1	version
"Black ppl ain’t friends fr....😂 y’all friends b talking DISRESPECTFUL towards U when U ain’t around them. And white ppl don’t respect the black friends they have so ig im stuck in tha middle smh 🤦‍♂️ 

#solo #solodolo #dolo #sololeveling #solomode #loneliness #peace #peaceofmind"	1	black ppl friend fr friend b talking disrespectful towards u u around white ppl respect black friend ig im stuck tha middle smh
"""Acknowledge your feelings of loneliness and reach out for support."" - Cole Egger

#ListenersOnCall #Feelings #Loneliness #ReachOut #Support"	1	acknowledge feeling loneliness reach support cole egger
Confession time: Crushing, bruising depression today. Why is it that so many of the people I crave won’t talk to me? #depressed #love #loneliness	1	confession time crushing bruising depression today many people crave talk
"""What I later came to learn through community, and connecting with others, is that while I might have felt alone in my situation, I had never been alone in my experience."" - Cole Egger

#ListenersOnCall #Loneliness #Connect #SharedExperiences"	1	later came learn community connecting others might felt alone situation never alone experience cole egger
"I'm a living alien in Pluto, that landed on Mars, got a chance to stroll in Jupiter, did have fun in Saturn, was almost dead on Earth, and currently residing on Moon.
#loneliness #thought #feelslikeitsraining #darkim #Share"	1	living alien pluto landed mar got chance stroll jupiter fun saturn almost dead earth currently residing moon
"if letting go is the same as moving on, then why does memories hurt?
#feelslikeitsraining #darkim #share #thought #loneliness"	1	letting go moving memory hurt
#loneliness is real	1	real
"will you stay? eventhough nothing is permanent? will you smile? eventhough it hurts? will you?

#feelslikeitsraining #Share #darkim #thoughts #ThoughtForTheDay #loneliness"	1	stay eventhough nothing permanent smile eventhough hurt
"Simply sitting and sightseeing is #bliss ❤

#loneliness is a drug. Never addicted to this

 But #nallathanirukum 😌😌😌"	1	simply sitting sightseeing drug never addicted
"Getting a bit tired of losing my mind 

#bipolar #depression #loneliness #anxiety

Socially incompetent"	1	getting bit tired losing mind socially incompetent
"When the only thing the future holds is fear and uncertainty. 

Yeah.

#bipolar #depression #loneliness"	1	thing future hold fear uncertainty yeah
#Loneliness is striking hard these days. Online friends help a bit, but nothing beats a face to face relationship. Over 2 months without therapy has not helped. Therapist has canceled twice on me. Rare to happen once, but twice? She's burned out, so probably won't be around long	1	striking hard day online friend help bit nothing beat face face relationship 2 month without therapy helped therapist canceled twice rare happen twice burned probably around long
"I have been heartbroken 💔 She left me.
She doesn't want me anymore. I lost love.
#pain #heartbreak #loneliness #suffering #depression #fellingbad #sadness #dissapointment #needahelp #someonetotalk #AttentionPlease #rtitbot"	1	heartbroken left want anymore lost love
"Get comfortable with vibing alone,
It will empower uh 🙂
#AloneAlone  #loneliness"	1	get comfortable vibing alone empower uh
"#Loneliness. It's not just being alone. We can be surrounded by people and still feel lonely. And it's a killer. Great discussion about this in @Atlantic's ""How to Build a Happy Life"" podcast with @arthurbrooks and @Surgeon_General. Wonder what JHU folks are doing in this realm?"	1	alone surrounded people still feel lonely killer great discussion build happy life podcast general wonder jhu folk realm
"Maturity is when you realize
Your image, relations with people and people themselves are useless
ALL you want is your organs working well and a BILLION dollars

#writestuff #writerslift #writertwitter #writeout #loneliness #lone #writebetter #thoughts"	1	maturity realize image relation people people useless want organ working well billion dollar
I’m really over everything at this point. Time to let go and let God. #idc #inmyownlane #loneliness	1	really everything point time let go let god
"So far away…yet you can make my heart flutter like a cluster of #butterflies that have just just finished feeding on the nectar of flowers… a smile …thinking of you and yet tears from #loneliness and miles …
💙👈🏼🩺♾"	1	far away yet make heart flutter like cluster finished feeding nectar flower smile thinking yet tear mile
"The wheel still be spinning , but the hamster he be dead as fuck.

#bipolar #depression #loneliness"	1	wheel still spinning hamster dead fuck
"If Hamlet asked me today: ""To be, or not to be?"" I would choose the second option.

#suicide #depression #loneliness"	1	hamlet asked today would choose second option
HE created #ART for loners. #Loneliness #Aloneness	1	created loner
"Days go by and I want nothing more than to just connect to another person out there. I think it helps to know you aren't the only one who has deep feelings threatening to swallow them up. 
#psychology #anxiety #sarniaontario #Happiness #MentalHealthMatters #loneliness"	1	day go want nothing connect another person think help know one deep feeling threatening swallow
Do you feel lonely when you are alone? Are you lonely even when ‘connected’?Loneliness- that’s a deep problem of the 21st century. #MentalHealthMatters #loneliness	1	feel lonely alone lonely even connected loneliness deep problem 21st century
"In this world full of bad people 😶
I felt alone....... 
Now I only have think I believe i.e. GOD

#loneliness #alongwiththegods #MONDAY #Tweet #quotes"	1	world full bad people felt alone think believe e god
"Well, coffee. Obviously.

Chocolate cake in the oven.

Wife nearly in traction due to some undefined back pain...

Road trip for today may or may not happen. No expectation. 

Fat, because food before fitness.

#bipolar #depression #loneliness"	1	well coffee obviously chocolate cake oven wife nearly traction due undefined back pain road trip today may may happen expectation fat food fitness
